url,label,category
http://188.166.211.167/banks/bmo/em.html,1,phishing
http://000ogxd.wcomhost.com/loogs/customer_center/customer-idpp00c844/myaccount/signin,1,phishing
http://0ht.b09.mywebsitetransfer.com/service/firststep.php,1,phishing
http://198.199.76.149/banks/meridian,1,phishing
https://zq2gix94ag.netlify.app,0,benign_complex
http://131588993-887995028116217212.preview.editmysite.com/uploads/1/3/1/5/131588993/hummels_yaho__jdieueiuieue_update______%5e%5e_______883839393930339399040404.htm,1,phishing
https://z0p6jakrxu.workers.dev,0,benign_complex
http://1ship.vn/resources/lang/fovvd/47883ad1d315b79ea7e7400d9e2a388d,1,phishing
http://20.63.36.192/finance/bmo-mobile,1,phishing
http://001-prime-000.com/amazon/dbf00/index2.php,1,phishing
http://000ogxd.wcomhost.com/tops/customer_center/customer-idpp00c266/myaccount/signin,1,phishing
https://bt4kmv2bp2.workers.dev,0,benign_complex
http://167.71.4.79/devlce/clbc/d2c27f1a8eff35a8c1c8638092466c7d/online/index.html,1,phishing
https://lfyybe1dch.firebaseapp.com,0,benign_complex
https://x8plu88h2m.netlify.app,0,benign_complex
https://comc1wmj4g.github.io,0,benign_complex
http://209.141.49.77/wctx1d1dfxfdg.do.php,1,phishing
http://167.71.139.128/banks/cibc/index.html,1,phishing
http://138.197.172.219/banks/simplii/index.html,1,phishing
http://0efbd9f.wcomhost.com/de/banking-postbank/login/privatkunden/de/e2a5b445231c597a4015/clients/pass.php,1,phishing
http://13.65.245.205/produto/identificacao.php?id=4,1,phishing
http://123prati.github.io/bharat-intern-netflix-,1,phishing
http://03032020.xyz/retry2.html,1,phishing
https://a7iy4oq8q3.azurewebsites.net,0,benign_complex
http://20.104.19.149/finance/tang/questions.html,1,phishing
https://uzqyxpqvik.github.io,0,benign_complex
http://207.154.253.64/banks/cibc/5535478ed831995ea6b545e6b7bd6b1e/online/index.html,1,phishing
http://178.128.117.156/online/ci/64054b41877cf78a3adc5de79be3d525,1,phishing
